source,target,type
test:tests/test\_watchdog\_validation.py,roadmap:080,validates
test:tests/test_roadmap_079_paper_portfolio_ops.py,roadmap:080,validates
test:tests/test_roadmap_080_portfolio_benchmarking.py,roadmap:080,validates
doc:docs/allocation-robustness-score.md,roadmap:080,documents
doc:docs/correlation-stress-testing.md,roadmap:080,documents
doc:docs/liquidity-shock-testing.md,roadmap:080,documents
doc:docs/paper-portfolio-benchmark-safety-contract.md,roadmap:080,documents
doc:docs/portfolio-benchmark-dashboard.md,roadmap:080,documents
doc:docs/portfolio-benchmark-suite.md,roadmap:080,documents
doc:docs/portfolio-scenario-replay.md,roadmap:080,documents
doc:docs/roadmap-076-102-execution-evidence.md,roadmap:080,documents
doc:docs/rotation-churn-analysis.md,roadmap:080,documents
doc:docs/scenario-dataset-builder.md,roadmap:080,documents
doc:docs/stress-scenario-generator.md,roadmap:080,documents
doc:docs/watchdog-validation.md,roadmap:080,documents
roadmap:001,roadmap:081,follows_on
roadmap:002,roadmap:081,follows_on
roadmap:003,roadmap:081,follows_on
roadmap:004,roadmap:081,follows_on
roadmap:075,roadmap:081,follows_on
roadmap:076,roadmap:081,follows_on
roadmap:077,roadmap:081,follows_on
roadmap:078,roadmap:081,follows_on
roadmap:079,roadmap:081,follows_on
roadmap:080,roadmap:081,follows_on
roadmap:081,roadmap:081,follows_on
roadmap:081,module:src/binance\_spot\_bot/allocation\_search\_space.py,implements
roadmap:081,module:src/binance\_spot\_bot/backtest.py,implements
roadmap:081,module:src/binance\_spot\_bot/conservative\_policy\_selector.py,implements
roadmap:081,module:src/binance\_spot\_bot/evaluation.py,implements
roadmap:081,module:src/binance\_spot\_bot/optimization\_input\_registry.py,implements
roadmap:081,module:src/binance\_spot\_bot/paper\_policy\_approval.py,implements
roadmap:081,module:src/binance\_spot\_bot/pareto\_frontier.py,implements
roadmap:081,module:src/binance\_spot\_bot/portfolio.py,implements
roadmap:081,module:src/binance\_spot\_bot/portfolio\_optimization\_guard.py,implements
roadmap:081,module:src/binance\_spot\_bot/portfolio\_optimizer.py,implements
roadmap:081,module:src/binance\_spot\_bot/portfolio\_policy\_card.py,implements
roadmap:081,module:src/binance\_spot\_bot/portfolio\_policy\_generator.py,implements
roadmap:081,module:src/binance\_spot\_bot/portfolio\_risk.py,implements
roadmap:081,module:src/binance\_spot\_bot/risk\_budget\_optimizer.py,implements
roadmap:081,module:src/binance\_spot\_bot/scenario\_weighted\_selection.py,implements
roadmap:081,module:src/binance_spot_bot/paper_os.py,implements
test:tests/test\_allocation\_search\_space.py,roadmap:081,validates
test:tests/test\_conservative\_policy\_selector.py,roadmap:081,validates
test:tests/test\_optimization\_input\_registry.py,roadmap:081,validates
test:tests/test\_paper\_policy\_approval.py,roadmap:081,validates
test:tests/test\_pareto\_frontier.py,roadmap:081,validates
test:tests/test\_portfolio\_optimization\_guard.py,roadmap:081,validates
test:tests/test\_portfolio\_optimizer.py,roadmap:081,validates
test:tests/test\_portfolio\_policy\_card.py,roadmap:081,validates
test:tests/test\_portfolio\_policy\_generator.py,roadmap:081,validates
test:tests/test\_risk\_budget\_optimizer.py,roadmap:081,validates
test:tests/test\_scenario\_weighted\_selection.py,roadmap:081,validates
test:tests/test_roadmap_080_portfolio_benchmarking.py,roadmap:081,validates
test:tests/test_roadmap_081_portfolio_optimization.py,roadmap:081,validates
doc:docs/allocation-search-space.md,roadmap:081,documents
doc:docs/conservative-policy-selector.md,roadmap:081,documents
doc:docs/optimization-input-registry.md,roadmap:081,documents
doc:docs/paper-policy-approval.md,roadmap:081,documents
doc:docs/paper-portfolio-optimization-safety-contract.md,roadmap:081,documents
doc:docs/pareto-frontier.md,roadmap:081,documents
doc:docs/portfolio-optimization-guard.md,roadmap:081,documents
doc:docs/portfolio-optimizer.md,roadmap:081,documents
doc:docs/portfolio-policy-card.md,roadmap:081,documents
doc:docs/portfolio-policy-generator.md,roadmap:081,documents
doc:docs/risk-budget-optimizer.md,roadmap:081,documents
doc:docs/roadmap-076-102-execution-evidence.md,roadmap:081,documents
doc:docs/scenario-weighted-selection.md,roadmap:081,documents
roadmap:001,roadmap:082,follows_on
roadmap:002,roadmap:082,follows_on
roadmap:003,roadmap:082,follows_on
roadmap:004,roadmap:082,follows_on
roadmap:075,roadmap:082,follows_on
roadmap:076,roadmap:082,follows_on
roadmap:077,roadmap:082,follows_on
roadmap:078,roadmap:082,follows_on
roadmap:079,roadmap:082,follows_on
roadmap:080,roadmap:082,follows_on
roadmap:081,roadmap:082,follows_on
roadmap:082,roadmap:082,follows_on
roadmap:082,module:src/binance\_spot\_bot/ab\_paper\_experiments.py,implements
roadmap:082,module:src/binance\_spot\_bot/evaluation.py,implements
roadmap:082,module:src/binance\_spot\_bot/experiment\_stopping\_rules.py,implements
roadmap:082,module:src/binance\_spot\_bot/governance\_simulation.py,implements
roadmap:082,module:src/binance\_spot\_bot/model\_registry.py,implements
roadmap:082,module:src/binance\_spot\_bot/paper\_experiment\_split.py,implements
roadmap:082,module:src/binance\_spot\_bot/paper\_policy\_rollout.py,implements
roadmap:082,module:src/binance\_spot\_bot/policy\_governance.py,implements
roadmap:082,module:src/binance\_spot\_bot/policy\_lineage.py,implements
roadmap:082,module:src/binance\_spot\_bot/policy\_promotion\_gate.py,implements
roadmap:082,module:src/binance\_spot\_bot/portfolio.py,implements
roadmap:082,module:src/binance\_spot\_bot/portfolio\_policy\_registry.py,implements
roadmap:082,module:src/binance\_spot\_bot/runtime.py,implements
roadmap:082,module:src/binance\_spot\_bot/weekly\_governance\_report.py,implements
roadmap:082,module:src/binance_spot_bot/ab_paper_experiments.py,implements
roadmap:082,module:src/binance_spot_bot/experiment_stopping_rules.py,implements
roadmap:082,module:src/binance_spot_bot/governance_evidence_bundle.py,implements
roadmap:082,module:src/binance_spot_bot/governance_simulation.py,implements
roadmap:082,module:src/binance_spot_bot/paper_experiment_split.py,implements
roadmap:082,module:src/binance_spot_bot/paper_os.py,implements
roadmap:082,module:src/binance_spot_bot/paper_policy_rollout.py,implements
roadmap:082,module:src/binance_spot_bot/policy_governance.py,implements
roadmap:082,module:src/binance_spot_bot/policy_lineage.py,implements
roadmap:082,module:src/binance_spot_bot/policy_promotion_gate.py,implements
roadmap:082,module:src/binance_spot_bot/portfolio_policy_registry.py,implements
roadmap:082,module:src/binance_spot_bot/weekly_governance_report.py,implements
test:tests/test\_ab\_paper\_experiments.py,roadmap:082,validates
test:tests/test\_experiment\_stopping\_rules.py,roadmap:082,validates
test:tests/test\_governance\_evidence\_bundle.py,roadmap:082,validates
test:tests/test\_governance\_simulation.py,roadmap:082,validates
test:tests/test\_paper\_experiment\_split.py,roadmap:082,validates
test:tests/test\_paper\_policy\_rollout.py,roadmap:082,validates
test:tests/test\_policy\_governance.py,roadmap:082,validates
test:tests/test\_policy\_lineage.py,roadmap:082,validates
test:tests/test\_policy\_promotion\_gate.py,roadmap:082,validates
test:tests/test\_portfolio\_policy\_registry.py,roadmap:082,validates
test:tests/test\_weekly\_governance\_report.py,roadmap:082,validates
test:tests/test_roadmap_082_complete_governance_acceptance.py,roadmap:082,validates
test:tests/test_roadmap_082_policy_governance_full.py,roadmap:082,validates
test:tests/test_roadmaps_082_088_ops_governance.py,roadmap:082,validates
doc:docs/ab-paper-experiments.md,roadmap:082,documents
doc:docs/experiment-stopping-rules.md,roadmap:082,documents
doc:docs/governance-evidence-bundle.md,roadmap:082,documents
doc:docs/governance-simulation-suite.md,roadmap:082,documents
doc:docs/paper-experiment-split.md,roadmap:082,documents
doc:docs/paper-policy-governance-safety-contract.md,roadmap:082,documents
doc:docs/paper-policy-rollout.md,roadmap:082,documents
doc:docs/policy-governance.md,roadmap:082,documents
doc:docs/policy-lineage-rollback.md,roadmap:082,documents
doc:docs/policy-promotion-gate.md,roadmap:082,documents
doc:docs/portfolio-policy-registry.md,roadmap:082,documents
doc:docs/roadmap-076-102-execution-evidence.md,roadmap:082,documents
doc:docs/weekly-governance-report.md,roadmap:082,documents
roadmap:001,roadmap:083,follows_on
roadmap:002,roadmap:083,follows_on
roadmap:003,roadmap:083,follows_on
roadmap:004,roadmap:083,follows_on
roadmap:075,roadmap:083,follows_on
roadmap:076,roadmap:083,follows_on
roadmap:077,roadmap:083,follows_on
roadmap:078,roadmap:083,follows_on
roadmap:079,roadmap:083,follows_on
roadmap:080,roadmap:083,follows_on
roadmap:081,roadmap:083,follows_on
roadmap:082,roadmap:083,follows_on
roadmap:083,roadmap:083,follows_on
roadmap:083,module:src/binance\_spot\_bot/cli.py,implements
roadmap:083,module:src/binance\_spot\_bot/governance\_reminders.py,implements
roadmap:083,module:src/binance\_spot\_bot/local\_job\_allowlist.py,implements
roadmap:083,module:src/binance\_spot\_bot/local\_job\_runner.py,implements
roadmap:083,module:src/binance\_spot\_bot/local\_job\_store.py,implements
roadmap:083,module:src/binance\_spot\_bot/local\_jobs.py,implements
roadmap:083,module:src/binance\_spot\_bot/local\_scheduler.py,implements
roadmap:083,module:src/binance\_spot\_bot/model\_registry.py,implements
roadmap:083,module:src/binance\_spot\_bot/operator\_runbooks.py,implements
roadmap:083,module:src/binance\_spot\_bot/paper\_ops\_calendar.py,implements
roadmap:083,module:src/binance\_spot\_bot/runbook\_drills.py,implements
roadmap:083,module:src/binance\_spot\_bot/scheduled\_reports.py,implements
roadmap:083,module:src/binance\_spot\_bot/windows\_task\_scheduler.py,implements
roadmap:083,module:src/binance_spot_bot/paper_os.py,implements
test:tests/test\_failure\_support\_bundle.py,roadmap:083,validates
test:tests/test\_governance\_reminders.py,roadmap:083,validates
test:tests/test\_local\_job\_allowlist.py,roadmap:083,validates
test:tests/test\_local\_job\_runner.py,roadmap:083,validates
test:tests/test\_local\_job\_store.py,roadmap:083,validates
test:tests/test\_local\_jobs.py,roadmap:083,validates
test:tests/test\_local\_scheduler.py,roadmap:083,validates
test:tests/test\_operator\_runbooks.py,roadmap:083,validates
test:tests/test\_paper\_ops\_calendar.py,roadmap:083,validates
test:tests/test\_runbook\_drills.py,roadmap:083,validates
test:tests/test\_scheduled\_reports.py,roadmap:083,validates
test:tests/test\_windows\_task\_scheduler.py,roadmap:083,validates
test:tests/test_roadmap_083_local_ops_acceptance.py,roadmap:083,validates
test:tests/test_roadmaps_082_088_ops_governance.py,roadmap:083,validates
test:tests/test_roadmaps_083_088_full_surface.py,roadmap:083,validates
doc:docs/failure-support-bundles.md,roadmap:083,documents
doc:docs/governance-reminders.md,roadmap:083,documents
doc:docs/local-job-allowlist.md,roadmap:083,documents
doc:docs/local-job-schema.md,roadmap:083,documents
doc:docs/local-ops-dashboard.md,roadmap:083,documents
doc:docs/local-paper-ops-automation-safety-contract.md,roadmap:083,documents
doc:docs/local-scheduler.md,roadmap:083,documents
doc:docs/operator-runbooks.md,roadmap:083,documents
doc:docs/paper-ops-calendar.md,roadmap:083,documents
doc:docs/retention-data-growth-automation.md,roadmap:083,documents
doc:docs/roadmap-076-102-execution-evidence.md,roadmap:083,documents
doc:docs/runbook-drills.md,roadmap:083,documents
doc:docs/scheduled-reports.md,roadmap:083,documents
doc:docs/windows-task-scheduler-local-ops.md,roadmap:083,documents
roadmap:001,roadmap:084,follows_on
roadmap:002,roadmap:084,follows_on
roadmap:003,roadmap:084,follows_on
roadmap:004,roadmap:084,follows_on
roadmap:075,roadmap:084,follows_on
roadmap:076,roadmap:084,follows_on
roadmap:077,roadmap:084,follows_on
roadmap:078,roadmap:084,follows_on
roadmap:079,roadmap:084,follows_on
roadmap:080,roadmap:084,follows_on
roadmap:081,roadmap:084,follows_on
roadmap:082,roadmap:084,follows_on
roadmap:083,roadmap:084,follows_on
roadmap:084,roadmap:084,follows_on
roadmap:084,module:src/binance\_spot\_bot/cli.py,implements
roadmap:084,module:src/binance\_spot\_bot/governance\_metrics.py,implements
roadmap:084,module:src/binance\_spot\_bot/local\_ops\_metrics.py,implements
roadmap:084,module:src/binance\_spot\_bot/long\_term\_analytics\_report.py,implements
roadmap:084,module:src/binance\_spot\_bot/metrics\_aggregation.py,implements
roadmap:084,module:src/binance\_spot\_bot/metrics\_anomaly\_detection.py,implements
roadmap:084,module:src/binance\_spot\_bot/metrics\_collectors.py,implements
roadmap:084,module:src/binance\_spot\_bot/metrics\_evidence\_bundle.py,implements
roadmap:084,module:src/binance\_spot\_bot/metrics\_retention.py,implements
roadmap:084,module:src/binance\_spot\_bot/metrics\_schema.py,implements
roadmap:084,module:src/binance\_spot\_bot/metrics\_warehouse.py,implements
roadmap:084,module:src/binance\_spot\_bot/operator\_ops.py,implements
roadmap:084,module:src/binance\_spot\_bot/ops\_slo.py,implements
roadmap:084,module:src/binance\_spot\_bot/paper\_performance\_metrics.py,implements
roadmap:084,module:src/binance_spot_bot/paper_os.py,implements
test:tests/test\_governance\_metrics.py,roadmap:084,validates
test:tests/test\_local\_ops\_metrics.py,roadmap:084,validates
test:tests/test\_long\_term\_analytics\_report.py,roadmap:084,validates
test:tests/test\_metrics\_aggregation.py,roadmap:084,validates
test:tests/test\_metrics\_anomaly\_detection.py,roadmap:084,validates
test:tests/test\_metrics\_cli.py,roadmap:084,validates
test:tests/test\_metrics\_collectors.py,roadmap:084,validates
test:tests/test\_metrics\_evidence\_bundle.py,roadmap:084,validates
test:tests/test\_metrics\_retention.py,roadmap:084,validates
test:tests/test\_metrics\_schema.py,roadmap:084,validates
test:tests/test\_metrics\_warehouse.py,roadmap:084,validates
test:tests/test\_ops\_slo.py,roadmap:084,validates
test:tests/test\_paper\_performance\_metrics.py,roadmap:084,validates
test:tests/test_roadmap_084_observability_acceptance.py,roadmap:084,validates
test:tests/test_roadmaps_082_088_ops_governance.py,roadmap:084,validates
test:tests/test_roadmaps_083_088_full_surface.py,roadmap:084,validates
doc:docs/governance-metrics.md,roadmap:084,documents
doc:docs/local-metrics-warehouse.md,roadmap:084,documents
doc:docs/local-observability-dashboard.md,roadmap:084,documents
doc:docs/local-observability-safety-contract.md,roadmap:084,documents
doc:docs/local-ops-metrics.md,roadmap:084,documents
doc:docs/long-term-analytics-reports.md,roadmap:084,documents
doc:docs/metrics-aggregation.md,roadmap:084,documents
doc:docs/metrics-anomaly-detection.md,roadmap:084,documents
doc:docs/metrics-collectors.md,roadmap:084,documents
doc:docs/metrics-event-schema.md,roadmap:084,documents
doc:docs/metrics-evidence-bundle.md,roadmap:084,documents
doc:docs/metrics-query-cli.md,roadmap:084,documents
doc:docs/metrics-retention-compaction.md,roadmap:084,documents
doc:docs/paper-ops-slo.md,roadmap:084,documents
doc:docs/paper-performance-metrics.md,roadmap:084,documents
doc:docs/roadmap-076-102-execution-evidence.md,roadmap:084,documents
roadmap:001,roadmap:085,follows_on
roadmap:002,roadmap:085,follows_on
roadmap:003,roadmap:085,follows_on
roadmap:004,roadmap:085,follows_on
roadmap:075,roadmap:085,follows_on
roadmap:076,roadmap:085,follows_on
roadmap:077,roadmap:085,follows_on
roadmap:078,roadmap:085,follows_on
roadmap:079,roadmap:085,follows_on
roadmap:080,roadmap:085,follows_on
roadmap:081,roadmap:085,follows_on
roadmap:082,roadmap:085,follows_on
roadmap:083,roadmap:085,follows_on
roadmap:084,roadmap:085,follows_on
roadmap:085,roadmap:085,follows_on
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_answer.py,implements
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_command\_proposals.py,implements
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_context.py,implements
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_feedback.py,implements
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_guidance\_policy.py,implements
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_index.py,implements
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_injection\_guard.py,implements
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_llm.py,implements
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_query.py,implements
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_report.py,implements
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_runbook\_recommender.py,implements
roadmap:085,module:src/binance\_spot\_bot/ai\_ops\_sessions.py,implements
roadmap:085,module:src/binance\_spot\_bot/operator\_ops.py,implements
roadmap:085,module:src/binance\_spot\_bot/redaction.py,implements
roadmap:085,module:src/binance_spot_bot/paper_os.py,implements
test:tests/test\_ai\_ops\_answer.py,roadmap:085,validates
test:tests/test\_ai\_ops\_cli.py,roadmap:085,validates
test:tests/test\_ai\_ops\_command\_proposals.py,roadmap:085,validates
test:tests/test\_ai\_ops\_context.py,roadmap:085,validates
test:tests/test\_ai\_ops\_dashboard\_payload.py,roadmap:085,validates
test:tests/test\_ai\_ops\_guidance\_policy.py,roadmap:085,validates
test:tests/test\_ai\_ops\_index.py,roadmap:085,validates
test:tests/test\_ai\_ops\_injection\_guard.py,roadmap:085,validates
test:tests/test\_ai\_ops\_llm.py,roadmap:085,validates
test:tests/test\_ai\_ops\_query.py,roadmap:085,validates
test:tests/test\_ai\_ops\_runbook\_recommender.py,roadmap:085,validates
test:tests/test\_ai\_ops\_sessions.py,roadmap:085,validates
test:tests/test_roadmap_085_ai_ops_acceptance.py,roadmap:085,validates
test:tests/test_roadmaps_082_088_ops_governance.py,roadmap:085,validates
test:tests/test_roadmaps_083_088_full_surface.py,roadmap:085,validates
doc:docs/ai-ops-command-proposals.md,roadmap:085,documents
doc:docs/ai-ops-context-packs.md,roadmap:085,documents
doc:docs/ai-ops-dashboard.md,roadmap:085,documents
doc:docs/ai-ops-guidance-policy.md,roadmap:085,documents
doc:docs/ai-ops-knowledge-index.md,roadmap:085,documents
doc:docs/ai-ops-local-llm-optional.md,roadmap:085,documents
doc:docs/ai-ops-natural-language-queries.md,roadmap:085,documents
doc:docs/ai-ops-prompt-injection-defense.md,roadmap:085,documents
doc:docs/ai-ops-runbook-recommendations.md,roadmap:085,documents
doc:docs/ai-ops-safe-answer-engine.md,roadmap:085,documents
doc:docs/ai-ops-safety-tests.md,roadmap:085,documents
doc:docs/local-ai-ops-assistant-safety-contract.md,roadmap:085,documents
doc:docs/reports/runbooks/evidence,roadmap:085,documents
doc:docs/roadmap-076-102-execution-evidence.md,roadmap:085,documents
doc:docs/runbooks,roadmap:085,documents
doc:docs/runbooks;,roadmap:085,documents
roadmap:001,roadmap:086,follows_on
roadmap:002,roadmap:086,follows_on
roadmap:003,roadmap:086,follows_on
roadmap:004,roadmap:086,follows_on
roadmap:075,roadmap:086,follows_on
roadmap:076,roadmap:086,follows_on
roadmap:077,roadmap:086,follows_on
roadmap:078,roadmap:086,follows_on
roadmap:079,roadmap:086,follows_on
roadmap:080,roadmap:086,follows_on
roadmap:081,roadmap:086,follows_on
roadmap:082,roadmap:086,follows_on
roadmap:083,roadmap:086,follows_on
roadmap:084,roadmap:086,follows_on
roadmap:085,roadmap:086,follows_on
roadmap:086,roadmap:086,follows_on
roadmap:086,module:src/binance\_spot\_bot/action\_audit\_bundle.py,implements
roadmap:086,module:src/binance\_spot\_bot/action\_center\_report.py,implements
roadmap:086,module:src/binance\_spot\_bot/action\_executor.py,implements
roadmap:086,module:src/binance\_spot\_bot/action\_policy.py,implements
roadmap:086,module:src/binance\_spot\_bot/action\_proposals.py,implements
roadmap:086,module:src/binance\_spot\_bot/action\_verification.py,implements
roadmap:086,module:src/binance\_spot\_bot/approval\_plans.py,implements
roadmap:086,module:src/binance\_spot\_bot/approval\_queue.py,implements
roadmap:086,module:src/binance\_spot\_bot/approval\_workflow.py,implements
roadmap:086,module:src/binance\_spot\_bot/decision\_journal.py,implements
roadmap:086,module:src/binance\_spot\_bot/decision\_outcome\_analytics.py,implements
roadmap:086,module:src/binance\_spot\_bot/local\_operator\_identity.py,implements
roadmap:086,module:src/binance\_spot\_bot/operator\_ops.py,implements
roadmap:086,module:src/binance\_spot\_bot/runbook\_action\_workflow.py,implements
roadmap:086,module:src/binance_spot_bot/action_audit_bundle.py,implements
roadmap:086,module:src/binance_spot_bot/action_center_report.py,implements
roadmap:086,module:src/binance_spot_bot/action_executor.py,implements
roadmap:086,module:src/binance_spot_bot/action_policy.py,implements
roadmap:086,module:src/binance_spot_bot/action_proposals.py,implements
roadmap:086,module:src/binance_spot_bot/action_verification.py,implements
roadmap:086,module:src/binance_spot_bot/approval_plans.py,implements
roadmap:086,module:src/binance_spot_bot/approval_queue.py,implements
roadmap:086,module:src/binance_spot_bot/approval_workflow.py,implements
roadmap:086,module:src/binance_spot_bot/cli.py,implements
roadmap:086,module:src/binance_spot_bot/decision_journal.py,implements
roadmap:086,module:src/binance_spot_bot/decision_outcome_analytics.py,implements
roadmap:086,module:src/binance_spot_bot/local_operator_identity.py,implements
roadmap:086,module:src/binance_spot_bot/paper_os.py,implements
roadmap:086,module:src/binance_spot_bot/runbook_action_workflow.py,implements
roadmap:086,module:src/binance_spot_bot/ui/streamlit_app.py,implements
test:tests/test\_action\_audit\_bundle.py,roadmap:086,validates
test:tests/test\_action\_center\_cli.py,roadmap:086,validates
test:tests/test\_action\_center\_report.py,roadmap:086,validates
test:tests/test\_action\_executor.py,roadmap:086,validates
test:tests/test\_action\_policy.py,roadmap:086,validates
test:tests/test\_action\_proposals.py,roadmap:086,validates
test:tests/test\_action\_verification.py,roadmap:086,validates
test:tests/test\_ai\_ops\_action\_integration.py,roadmap:086,validates
test:tests/test\_approval\_plans.py,roadmap:086,validates
test:tests/test\_approval\_queue.py,roadmap:086,validates
test:tests/test\_approval\_workflow.py,roadmap:086,validates
test:tests/test\_decision\_journal.py,roadmap:086,validates
test:tests/test\_decision\_outcome\_analytics.py,roadmap:086,validates
test:tests/test\_local\_operator\_identity.py,roadmap:086,validates
test:tests/test\_runbook\_action\_workflow.py,roadmap:086,validates
test:tests/test_roadmap_086_action_center_acceptance.py,roadmap:086,validates
test:tests/test_roadmaps_082_088_ops_governance.py,roadmap:086,validates
test:tests/test_roadmaps_083_088_full_surface.py,roadmap:086,validates
doc:docs/action-audit-bundle.md,roadmap:086,documents
doc:docs/action-center-cli.md,roadmap:086,documents
doc:docs/action-center-dashboard.md,roadmap:086,documents
doc:docs/action-center-reports.md,roadmap:086,documents
doc:docs/action-policy-validator.md,roadmap:086,documents
doc:docs/action-proposal-schema.md,roadmap:086,documents
doc:docs/ai-ops-action-center-integration.md,roadmap:086,documents
doc:docs/approval-queue.md,roadmap:086,documents
doc:docs/decision-outcome-analytics.md,roadmap:086,documents
doc:docs/human-in-the-loop-action-safety-contract.md,roadmap:086,documents
doc:docs/local-operator-identity-roles.md,roadmap:086,documents
doc:docs/manual-approval-workflow.md,roadmap:086,documents
doc:docs/multi-step-approval-plans.md,roadmap:086,documents
doc:docs/operator-decision-journal.md,roadmap:086,documents
doc:docs/post-action-verification.md,roadmap:086,documents
doc:docs/roadmap-076-102-execution-evidence.md,roadmap:086,documents
doc:docs/runbook-step-approvals.md,roadmap:086,documents
doc:docs/safe-action-executor.md,roadmap:086,documents
roadmap:001,roadmap:087,follows_on
roadmap:002,roadmap:087,follows_on
roadmap:003,roadmap:087,follows_on
roadmap:004,roadmap:087,follows_on
roadmap:075,roadmap:087,follows_on
roadmap:076,roadmap:087,follows_on
roadmap:077,roadmap:087,follows_on
roadmap:078,roadmap:087,follows_on
roadmap:079,roadmap:087,follows_on
roadmap:080,roadmap:087,follows_on
roadmap:081,roadmap:087,follows_on
roadmap:082,roadmap:087,follows_on
roadmap:083,roadmap:087,follows_on
roadmap:084,roadmap:087,follows_on
roadmap:085,roadmap:087,follows_on
roadmap:086,roadmap:087,follows_on
roadmap:087,roadmap:087,follows_on
roadmap:087,module:src/binance\_spot\_bot/approval\_policy\_templates.py,implements
roadmap:087,module:src/binance\_spot\_bot/compliance\_bundle.py,implements
roadmap:087,module:src/binance\_spot\_bot/compliance\_evidence.py,implements
roadmap:087,module:src/binance\_spot\_bot/compliance\_report.py,implements
roadmap:087,module:src/binance\_spot\_bot/compliance\_score.py,implements
roadmap:087,module:src/binance\_spot\_bot/local\_operator\_identity.py,implements
roadmap:087,module:src/binance\_spot\_bot/operator\_ops.py,implements
roadmap:087,module:src/binance\_spot\_bot/operator\_roles.py,implements
roadmap:087,module:src/binance\_spot\_bot/permission\_change\_workflow.py,implements
roadmap:087,module:src/binance\_spot\_bot/permission\_drift.py,implements
roadmap:087,module:src/binance\_spot\_bot/permission\_engine.py,implements
roadmap:087,module:src/binance\_spot\_bot/permission\_profiles.py,implements
roadmap:087,module:src/binance\_spot\_bot/permission\_review.py,implements
roadmap:087,module:src/binance\_spot\_bot/redaction.py,implements
roadmap:087,module:src/binance\_spot\_bot/security.py,implements
roadmap:087,module:src/binance\_spot\_bot/separation\_of\_duties.py,implements
roadmap:087,module:src/binance_spot_bot/approval_policy_templates.py,implements
roadmap:087,module:src/binance_spot_bot/cli.py,implements
roadmap:087,module:src/binance_spot_bot/compliance_bundle.py,implements
roadmap:087,module:src/binance_spot_bot/compliance_evidence.py,implements
roadmap:087,module:src/binance_spot_bot/compliance_report.py,implements
roadmap:087,module:src/binance_spot_bot/compliance_score.py,implements
roadmap:087,module:src/binance_spot_bot/local_operator_identity.py,implements
roadmap:087,module:src/binance_spot_bot/operator_roles.py,implements
roadmap:087,module:src/binance_spot_bot/paper_os.py,implements
roadmap:087,module:src/binance_spot_bot/permission_change_workflow.py,implements
roadmap:087,module:src/binance_spot_bot/permission_drift.py,implements
roadmap:087,module:src/binance_spot_bot/permission_engine.py,implements
roadmap:087,module:src/binance_spot_bot/permission_profiles.py,implements
roadmap:087,module:src/binance_spot_bot/permission_review.py,implements
roadmap:087,module:src/binance_spot_bot/separation_of_duties.py,implements
roadmap:087,module:src/binance_spot_bot/ui/streamlit_app.py,implements
test:tests/test\_approval\_policy\_templates.py,roadmap:087,validates
test:tests/test\_compliance\_bundle.py,roadmap:087,validates
test:tests/test\_compliance\_evidence.py,roadmap:087,validates
test:tests/test\_compliance\_report.py,roadmap:087,validates
test:tests/test\_compliance\_score.py,roadmap:087,validates
test:tests/test\_local\_operator\_identity.py,roadmap:087,validates
test:tests/test\_operator\_roles.py,roadmap:087,validates
test:tests/test\_permission\_change\_workflow.py,roadmap:087,validates
test:tests/test\_permission\_drift.py,roadmap:087,validates
test:tests/test\_permission\_engine.py,roadmap:087,validates
test:tests/test\_permission\_profiles.py,roadmap:087,validates
test:tests/test\_permission\_review.py,roadmap:087,validates
test:tests/test\_role\_aware\_action\_center.py,roadmap:087,validates
test:tests/test\_separation\_of\_duties.py,roadmap:087,validates
test:tests/test_roadmap_086_action_center_acceptance.py,roadmap:087,validates
test:tests/test_roadmap_087_permissions_compliance_acceptance.py,roadmap:087,validates
test:tests/test_roadmaps_082_088_ops_governance.py,roadmap:087,validates
test:tests/test_roadmaps_083_088_full_surface.py,roadmap:087,validates
doc:docs/approval-policy-templates.md,roadmap:087,documents
doc:docs/audit-grade-compliance-report.md,roadmap:087,documents
doc:docs/compliance-bundle-export.md,roadmap:087,documents
doc:docs/compliance-dashboard.md,roadmap:087,documents
doc:docs/compliance-evidence-model.md,roadmap:087,documents
doc:docs/compliance-score.md,roadmap:087,documents
doc:docs/local-operator-identity-v2.md,roadmap:087,documents
doc:docs/local-permission-compliance-safety-contract.md,roadmap:087,documents
doc:docs/operator-role-templates.md,roadmap:087,documents
doc:docs/permission-change-workflow.md,roadmap:087,documents
doc:docs/permission-drift-detection.md,roadmap:087,documents
doc:docs/permission-engine.md,roadmap:087,documents
doc:docs/permission-profile-schema.md,roadmap:087,documents
doc:docs/permission-review-workflow.md,roadmap:087,documents
doc:docs/roadmap-076-102-execution-evidence.md,roadmap:087,documents
doc:docs/role-aware-action-center.md,roadmap:087,documents
doc:docs/separation-of-duties.md,roadmap:087,documents
roadmap:001,roadmap:088,follows_on
roadmap:002,roadmap:088,follows_on
